text,word,n,id,name,Comments,CL,keyword,DW notes,cbdsmokeshop,retailer,standalone_hashtag,sentence_hashtag,Keyword mentioned in post?,Amount of drug,sale,edible,food_product,gummies,drinks,tinctures,capsules,vape,flower,flavor_mentioned,concentrates,hemp,pet,noningestible,medical_claim,anxiety,skin,stress,cholesterol,effects_mentioned,giveaway,coupon,free_shipping,naturalness/organic,legal_high,review,popularity,website,physical_store_location,Premium,Tested,Delta 8 mentioned in post,handmade,Availability,Recipe,duplicate,RT,cbdsmokeshop_c,retailer_c,standalone_hashtag_c,sentence_hashtag_c,Keyword mentioned in post?_c,Amount of drug_c,sale_c,edible_c,food_product_c,gummies_c,drinks_c,tinctures_c,capsules_c,vape_c,flower_c,flavor_mentioned_c,concentrates_c,hemp_c,pet_c,noningestible_c,medical_claim_c,anxiety_c,skin_c,stress_c,cholesterol_c,effects_mentioned_c,giveaway_c,coupon_c,free_shipping_c,naturalness/organic_c,legal_high_c,review_c,popularity_c,website_c,physical_store_location_c,Premium_c,Tested_c,Delta 8 mentioned in post_c,handmade_c,Availability_c,Recipe_c,duplicate_c,RT_c,z_id_real
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Peanut Butter - 500mg

Add the delicious experience of Yum Yumâ€™s CBD Peanut Butter with 500mg of CBD in an 8oz package! Savor the experience of adding https://t.co/5Bfg0JtfP2 #cbdedibles #delta8 https://t.co/X4ZpUnaHLT",cbd,32586,1.43E+18,CBDSmokeShop,"hashtag standalone, food/bev","edible, savory, amount of drug, delicious","product advertising, hashtag standalone and in post","hashtag standalone, food/bev",1,1,1,,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Organic CBD Matcha Green Tea
Unimposing yet statement-making, our CBD Matcha Green Tea takes you on a silky journey through enlightened realms of pleasure. Sourced https://t.co/OxcWiB32Oo #cbdedibles #delta8 https://t.co/wInAnlQ9Vk",cbd,32586,1.43E+18,CBDSmokeShop,"hashtag standalone, food/bev","edible, beverage, pleasure","product advertising, hashtag standalone and in post","hashtag standalone, food/bev",1,1,1,,1,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,1,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Canna River Premium Hemp Flower in 7 gram jars. Each strain is Third-Party tested and COAs are available. Terpene rich strains available: Sweet Wife, Special Sauce, https://t.co/8oM0r8q9aX #cbdedibles #delta8 https://t.co/Xckwb6uAlu",cbd,32586,1.41E+18,CBDSmokeShop,"hashtag standalone, flower, sale","amount of drug, flower, tested, variety","not mentioned in post, hashtag standalone","hashtag standalone, flower, sale",1,1,1,,0,1,1,0,0,0,0,0,0,0,1,0,,1,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Oil Hand &amp; Body Lotion. Thereâ€™s no better way to pamper your skin than with the all-natural silky smoothness of CBD Oil Biotech Hand &amp;amp; Body Lotion, infused https://t.co/ElHsK07rUg #cbdedibles #delta8 https://t.co/DwIXcl8RJm",cbd,32586,1.41E+18,CBDSmokeShop,"hashtag standalone, lotion, sale","lotion, natural","hashtag standalone, product advertising","hashtag standalone, lotion, sale",1,1,1,,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
Calm the mind and float through your day with a healthy dose of 25mg of Delta-8 THC in each individual Peanut Butter Nugget! #peanutbutter #relief #THC #delta8 #cbd #thcnuggets #peanutbutternuggets #TriHealthy #THCPeanutButter https://t.co/45ywpCkHis,cbd,32586,1.36E+18,Tri-Healthy CBD,"hashtag standalone, food/bev, sale","calm, amount of drug, edible, savory","hashtag standalone, product advertising","hashtag standalone, food/bev, sale",1,1,1,,0,1,1,1,1,0,0,0,0,0,0,1,,0,0,0,1,1,,1,,1,0,0,0,0,0,,0,1,,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Peanut Butter - 500mg

Add the delicious experience of Yum Yumâ€™s CBD Peanut Butter with 500mg of CBD in an 8oz package! Savor the experience of adding https://t.co/5Bfg0JbEqs #cbdedibles #delta8 https://t.co/MbKAoPgXtH",cannabis,19168,1.41E+18,CBDSmokeShop,"hashtag standalone, sale","edible, savory, amount of drug, delicious","not mentioned in post, community, hashtag standalone","hashtag standalone, sale",1,1,1,,1,1,1,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6
I am legit goneeeeeeee. #edibles #DELTA8 #CannabisCommunity #cannabismedicinal #cannabisindustry #incredible #flyhigh #foodie #foodplay #foodfetish #ONLYFANSCOLLECTIONS #onlyfansmodels #sellingcontent #tuesdayvibe #tuesdaymotivations #onlyfansnewb #OnlyFansTH https://t.co/ccNtMhhGJW,cannabis,19168,1.42E+18,Carlyyy420,hashtag standalone,"high, edible","not mentioned in post, community, hashtag standalone",hashtag standalone,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,1,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Tommy Chong's Nano Energy TinctureÂ is formulated to help you feel energized. Calm and focused all day no matter what.

Tommy Chong's CBD is sourced from the best https://t.co/9RfprQttxZ #cbdedibles #delta8 https://t.co/6yDNISIfn4",cannabis,19168,1.42E+18,CBDSmokeShop,hashtag standalone,"energy, tincture, calm, focus","not mentioned in post, community, hashtag standalone",hashtag standalone,1,1,1,,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,1,1,,1,,1,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
"How hemp multi+ Is Formulated To Balance Mood &amp; Outlook
#sbreezeco #cbd #cbg #delta8 #cannabis #hemp #cannahealth https://t.co/kFXCWzSYHK",cannabis,19168,1.38E+18,ðŸ’¨SummerBreezecoðŸŒž,"hashtag standalone, health claims","formula, mood, balance","not mentioned in post, hashtag standalone","hashtag standalone, health claims",0,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,1,1,,0,,1,0,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
"Be proud of it!
.
.
.
.
.
.
#delta8 #hempproducts #delta8thc #kacha #hempoil #thcoil #cannabisdeals #thclife #livecolorfully https://t.co/1UpB1HnV6x",cannabis,19168,1.42E+18,Kacha Hemp,hashtag standalone,proud,"not mentioned in post, hashtag standalone",hashtag standalone,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
